직업명,임금(만원)
과실•채소 및 설탕가공관련 조작원,2107 
스포츠강사,2105 
택배원,2102 
인테리어디자이너,2096 
스턴트맨(대역배우),2089 
미장공,2085 
가구제조 및 수리원(가구목공),2072 
속기사,2064 
철근공,2061 
소형트럭운전원,2057 
여행안내원,2056 
도로운송사무원,2052 
단열공(보온공),2050 
미술치료사,2040 
철골공(강구조물건립원),2039 
건물도장원,2039 
디자인학원강사,2033 
목사,2032 
한식조리사,2012 
떡제조원,2010 
방수공,2003 
육묘 및 화훼작물재배자,1988 
상점판매원,1982 
메이크업아티스트,1978 
자동차운전학원강사,1977 
사회단체활동가,1976 
도배공,1972 
서예가,1971 
곡식작물재배자,1969 
경리,1954 
사회복지시설종사원,1950 
아로마테라피스트(향기치료사),1944 
경량철골공,1932 
콘크리트공,1931 
개그맨 및 코미디언,1916 
조적공(벽돌공),1889 
자료입력원,1884 
무용가,1856 
섬유관련 등급원 및 검사원,1854 
이발사,1846 
스포츠트레이너,1846 
애완동물미용사,1821 
미용사,1818 
IT강사,1795 
안내 및 접수원,1783 
의복수선원,1775 
바텐더(조주사),1758 
요리학원강사,1744 
컴퓨터설치및 수리원,1712 
유치원교사,1709 
전화통신판매원(텔레마케터),1705 
디스크자키(DJ),1703 
"민속종교종사자(점술가,무당 등)",1701 
네일아티스트,1693 
피부관리사,1683 
이미용학원강사,1680 
연주가,1658 
포장원,1646 
홍보판촉원(모델도우미포함),1632 
연극배우,1598 
세탁원,1590 
전화교환 및 번호안내원,1567 
목욕관리사,1565 
양장사 및 양복사,1558 
고객상담원,1544 
사무보조원,1519 
곡식제품제조원,1503 
보육교사 및 보육사,1497 
주차관리원,1495 
예능계학원강사,1471 
청원경찰,1455 
한복사,1427 
주유원,1423 
택시운전원,1409 
비디오자키(VJ),1389 
웨이터 및 웨이트리스,1377 
매장정리원,1354 
승려,1334 
노점 및 이동판매원,1326 
놀이시설종사원,1325 
혼례종사원,1306 
마술사(곡예사포함),1279 
계산원 및 매표원,1197 
신부,1194 
전기•전 제품 및 부 조립 및 검사원,1192 
치어리더,1161 
대중무용수(백댄서),1158 
구두미화원,1153 
간병인,1135 
파출부,1107 
교무(원불교),1084 
경비원,1054 
설문조사원,1036 
전도사,1033 
